preference,cost,prepTime
-43.156130729404545,15.213869270595456,424.6438692705955
-113.25848849608707,40.77151150391292,484.6415115039129
-90.80570013187189,37.80429986812812,289.89429986812814
-117.59006802145772,27.839931978542303,709.6099319785422
-80.87041170035262,30.61958829964739,160.1295882996474
-48.212406652466825,36.387593347533176,105.08759334753319
-117.27461477818846,38.88538522181153,568.8253852218115
-85.6676168087767,28.06238319122332,309.73238319122333
-70.47503030165001,19.35496969834999,411.62496969835
-107.81878109367099,35.721218906329,540.081218906329
-104.50911507799617,34.360884922003834,439.89088492200386
-100.2601453857113,26.309854614288717,449.6398546142887
-93.8197020614577,43.990297938542284,249.1802979385423
-88.40784145254263,40.57215854745736,216.99215854745736
-51.94193584052439,21.358064159475607,214.7580641594756
-85.06349325597809,24.716506744021924,321.73650674402194
-79.39890735508197,21.201092644918038,429.40109264491804
-62.504593040450246,18.74540695954976,244.39540695954977
-88.75813386457692,28.6518661354231,234.6418661354231
-77.42640255165,20.06359744834999,319.37359744835
-99.5596474406885,40.11035255931153,289.84035255931155
-121.8060838539577,34.6239161460423,589.7939161460423
-37.056820991399995,17.273179008600017,234.64317900860001
-46.02024699719916,29.079753002800842,97.07975300280084
-30.17350323399794,15.336496766002057,319.82649676600204
-74.9571965115205,24.242803488479517,264.6428034884795
-67.18817001630579,18.811829983694214,354.5118299836942
-95.40200818678879,35.397991813211206,359.5979918132112
-93.03926378441106,24.62073621558894,384.66073621558894
-94.48157049395769,20.978429506042303,634.7184295060423
-103.56738854037886,25.582611459621162,529.6326114596212
-60.63380762548935,26.25619237451066,220.26619237451067
-99.70630773704674,22.853692262953256,719.5936922629533
-37.10888025581901,27.271119744180986,97.29111974418099
-92.83459127915002,18.435408720849992,664.46540872085
-66.18658577811058,22.81341422188943,284.4134142218894
-114.01775302915003,26.69224697085,669.48224697085
-79.31417583818848,17.49582416181153,524.4858241618115
-111.15864501655858,22.631354983441433,719.6413549834415
-110.93156877395768,34.5284312260423,656.6684312260423
-77.76355967987291,47.52644032012709,140.43644032012708
-101.20717498769321,26.9828250123068,434.6928250123068
-55.587565157596,25.482434842404007,162.812434842404
-67.01497455377506,28.53502544622495,165.08502544622496
-88.97533492665004,22.024665073349993,514.52466507335
-75.60034884824252,29.339651151757494,225.1996511517575
-63.963155908223804,15.676844091776186,524.4368440917762
-87.1026905112654,18.94730948873461,549.4973094887346
-53.04536032665001,14.89463967334999,816.45463967335
-67.59465644029942,36.59534355970058,115.00534355970058
-88.8818245114719,29.248175488528116,354.7181754885281
-34.09052343238329,19.999476567616703,179.7094765676167
-25.05862337903251,15.591376620967488,254.6413766209675
-106.23195897318789,39.96804102681213,366.86804102681214
-59.24759233946394,15.232407660536063,404.45240766053604
-119.46217285352769,42.09782714647229,399.6378271464723
-44.50338261375518,21.936617386244826,181.99661738624482
