preference,cost,prepTime
-110.50588282915405,39.934117170845944,529.794117170846
-78.08121219165001,19.898787808349994,389.71878780835
-23.155916721766005,17.194083278233997,169.644083278234
-39.81414750590369,37.065852494096305,79.88585249409631
-67.68969773159264,48.830302268407344,111.71030226840736
-112.43412959910368,44.87587040089632,464.76587040089635
-54.2453353454,19.42466465459999,286.7546646546
-51.89977452665,14.750225473349992,344.50022547335
-36.27251912636605,23.117480873633955,118.02748087363395
-90.93080268600129,32.949197313998724,149.9691973139987
-79.05440312915,20.37559687084999,308.54559687085
-37.161701552220954,17.46829844777904,149.63829844777905
-79.73828570415,21.47171429584999,323.56171429585
-106.12140182427645,52.05859817572357,344.67859817572355
-95.59016723068848,30.229832769311535,294.90983276931155
-13.55929896513232,15.460701034867679,161.64070103486767
-63.011819289150026,19.61818071084999,314.98818071085
-103.09861813915,34.88138186084999,335.10138186085
-58.23695931940579,45.9830406805942,67.0630406805942
-48.99194970328463,20.318050296715377,199.90805029671537
-63.17514374423443,28.31485625576557,112.62485625576556
-58.694786030077196,49.545213969922784,32.30521396992279
-90.71396565415002,24.496034345849992,529.68603434585
-84.22696520415,25.15303479584999,308.57303479585
-100.98283876415002,28.947161235849997,479.61716123585
-60.15865907915,15.261340920849992,349.74134092085
-82.36742318915002,24.202576810849994,299.73257681085
-85.65639703268309,31.79360296731692,155.04360296731693
-41.64582077366602,22.494179226333987,143.25417922633397
-63.19737130165001,16.692628698349992,369.60262869835
-78.64309507915,17.606904920849992,424.65690492084997
-47.75705648462551,25.742943515374495,119.74294351537449
-68.61091672665,15.679083273349992,504.68908327335
-56.35342405165001,20.666575948349994,249.44657594835
-91.22284829441558,28.047151705584415,190.0771517055844
-43.414044541650014,20.32595545834999,175.38595545835
-82.99547112915002,24.03452887084999,309.90452887085
-36.14964637859066,26.320353621409343,101.95035362140933
-78.68999577377252,28.33000422622748,157.1100042262275
-110.58002829243291,40.659971707567095,474.7199717075671
-56.246729365448736,41.90327063455126,47.45327063455127
-100.3227335560731,24.807266443926913,484.7772664439269
-82.04361607915001,19.966383920849992,437.65638392085
-88.31790127665002,35.392098723349996,124.78209872334999
-79.09107476665002,19.01892523334999,454.90892523335
-102.46211748241925,33.557882517580765,369.7378825175808
-60.22385935507863,21.29614064492135,152.07614064492134
-47.26856608011155,12.731433919888453,389.43143391988843
-88.61356294165003,23.176437058349993,429.68643705835
-12.55777955436972,15.76222044563028,156.64222044563027
-107.23967866665001,38.51032133334999,351.86032133335
-78.54276940415001,17.33723059584999,429.65723059584997
-66.19487813915,22.31512186084999,227.40512186085
-47.92640255165,19.68359744834999,224.37359744834998
-68.17056140549616,25.789438594503842,211.62943859450382
-81.42107627665001,35.88892372334999,124.67892372335
-33.1155116856092,17.854488314390803,124.88448831439081
-95.12081103915001,32.43918896085,264.67918896085
-94.77366741665001,36.90633258334999,249.62633258334998
-108.10878230534263,32.701217694657366,570.0912176946574
-78.91943797953462,27.000562020465374,219.68056202046537
-32.95033511318847,16.549664886811527,219.44966488681152
-49.03854697141477,35.85145302858523,84.66145302858523
-58.49138382290001,20.95861617709999,214.9086161771
-109.3652160497107,41.33478395028931,439.73478395028934
-108.59947579472693,32.990524205273076,420.00052420527305
-51.35115782842223,14.80884217157777,270.04884217157775
-52.791858206207074,26.218141793792924,123.00814179379292
-64.76444108487858,23.445558915121424,212.23555891512143
-38.521819920974345,40.408180079025655,45.27818007902566
-47.1345233175519,40.68547668244809,45.3654766824481
-62.226368941478654,13.393631058521349,569.3736310585214
-89.835094840895,32.64490515910502,149.96490515910503
-57.86238790165001,14.827612098349991,354.43761209835
-95.2562029939577,28.573797006042305,294.7437970060423
-99.50082279165,36.21917720835,308.89917720835
-72.85612555741923,20.993874442580758,251.64387444258077
-62.96356728444174,25.146432715558266,147.03643271555825
-58.343789551650005,17.356210448349987,329.55621044835
-83.39799892318847,28.54200107681153,145.30200107681154
-36.60308528780386,11.796914712196145,369.3969147121961
-29.780648128012587,26.04935187198742,101.91935187198742
-60.69566152665001,14.904338473349991,399.40433847335
-73.99667617665001,15.783323823349992,529.70332382335
-77.85888682915001,16.241113170849992,414.64111317084996
-43.465401240751255,18.464598759248744,219.53459875924875
-97.86122853964581,34.76877146035421,254.7387714603542
-69.52555127665,15.80444872334999,409.47444872335
-98.5685932354,33.7214067646,269.73140676459997
-37.90945105525232,18.96054894474768,149.6905489447477
-81.33145362665002,25.76854637334999,256.66854637335
-84.61030977915,18.339690220849995,597.68969022085
-94.11511713915,26.464882860849997,299.68488286085
-107.64886560665,30.721134393349995,444.65113439335
-66.27549928497724,29.934500715022754,100.82450071502275
-88.03365671415003,21.32634328584999,404.66634328585
-100.9652531083808,29.434746891619227,329.5347468916192
-54.41909849170888,38.23090150829111,47.48090150829112
-99.87212132088078,26.857878679119224,374.4278786791192
-65.82277101376539,18.57722898623461,339.6772289862346
